Head_x,Head_y,ElbowRight_x,ElbowRight_y,ElbowLeft_x,ElbowLeft_y,HandRight_x,HandRight_y,HandLeft_x,HandLeft_y,KneeRight_x,KneeRight_y,KneeLeft_x,KneeLeft_y,FootRight_x,FootRight_y,FootLeft_x,FootLeft_y,SpineBase_x,SpineBase_y,SpineShoulder_x,SpineShoulder_y,
0.16421,-0.62229,-0.3045,-0.36731,0.24568,-0.26032,-0.33715,-0.04587,0.42102,-0.02841,-0.33369,0.10554,0.10402,0.31808,-0.49373,0.38966,0.01402,0.63961,-0.14787,0.05542,0.09115,-0.42543,
0.18576,-0.67118,-0.22876,-0.24,0.24016,-0.27186,-0.33454,-0.04434,0.42197,0.01429,-0.2944,0.0666,0.10941,0.35654,-0.50498,0.36595,-0.02138,0.60292,-0.12121,0.02298,0.03992,-0.38968,
0.14857,-0.63933,-0.2345,-0.2217,0.23614,-0.27035,-0.33597,-0.03446,0.37362,0.03733,-0.32036,0.0594,0.10478,0.32641,-0.51561,0.3199,-0.02759,0.57655,-0.14617,0.01114,0.03992,-0.38968,
0.14987,-0.65922,-0.23153,-0.21167,0.26595,-0.22946,-0.35759,-0.00236,0.37471,0.05528,-0.34981,0.09727,0.16978,0.26494,-0.53999,0.31953,0.03401,0.42107,-0.17864,0.01811,0.03992,-0.38968,
0.17074,-0.62659,-0.27075,-0.19884,0.25423,-0.26006,-0.34458,0.01541,0.36863,0.03341,-0.36788,0.06554,0.27009,0.12342,-0.53938,0.3206,0.04122,0.39782,-0.16887,0.06007,0.03992,-0.38968,
0.12194,-0.66978,-0.2619,-0.22415,0.25014,-0.25405,-0.37584,-0.00475,0.08947,-0.05978,-0.28315,-0.1406,0.25786,0.15771,-0.53146,0.35368,0.0595,0.38285,-0.18949,0.06351,0.03992,-0.38968,
0.11902,-0.68643,-0.29807,-0.19198,0.25009,-0.20629,-0.40631,-0.05452,0.12991,-0.05716,-0.28359,-0.11869,0.24094,0.15119,-0.58107,0.32409,0.06967,0.41326,-0.2014,0.0185,0.03992,-0.38968,
0.07181,-0.63892,-0.31471,-0.20648,0.24145,-0.15888,-0.42138,-0.00731,0.11317,-0.03554,-0.2338,-0.11753,0.27186,0.15354,-0.60062,0.20827,0.0715,0.43521,-0.24543,-0.02192,0.03992,-0.38968,
0.0765,-0.67379,-0.32562,-0.22156,0.25547,-0.14593,-0.42267,-0.04021,0.23068,-0.1264,-0.267,-0.12652,0.23506,0.16593,-0.58582,0.23467,0.04198,0.45282,-0.26623,0.01161,0.03992,-0.38968,
0.05068,-0.65824,-0.29808,-0.23949,0.22004,-0.10254,-0.46586,-0.02282,0.31454,-0.40799,-0.29766,-0.1415,0.22626,0.14597,-0.56544,0.22754,0.0855,0.41759,-0.30749,0.00848,0.03992,-0.38968,
0.04949,-0.63848,-0.25352,-0.25693,0.20951,-0.13459,-0.44961,-0.01474,0.26758,-0.41937,-0.31325,-0.09956,0.21633,0.12952,-0.5997,0.25625,0.12897,0.4208,-0.25902,0.03185,0.03992,-0.38968,
